cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_ci_ke,10,naked,0,刺击,244,315,77.5,10
cls_ci_ke,10,naked,0,割裂,217,315,68.9,10
cls_ci_ke,10,naked,0,双刃乱舞,464,315,147.3,10
cls_ci_ke,10,naked,0,淬毒,190,315,60.3,10
cls_ci_ke,10,naked,0,暗杀,504,315,160.0,10
cls_ci_ke,10,naked,0,影袭,243,315,77.1,10
cls_ci_ke,10,naked,0,毒雾,138,315,43.8,10
cls_ci_ke,10,naked,0,暗影处刑,666,315,211.4,10
cls_ci_ke,10,naked,3,刺击,240,405,59.3,13
cls_ci_ke,10,naked,3,割裂,207,405,51.1,13
cls_ci_ke,10,naked,3,双刃乱舞,439,405,108.4,13
cls_ci_ke,10,naked,3,淬毒,171,405,42.2,13
cls_ci_ke,10,naked,3,暗杀,517,405,127.7,13
cls_ci_ke,10,naked,3,影袭,211,405,52.1,13
cls_ci_ke,10,naked,3,毒雾,126,405,31.1,13
cls_ci_ke,10,naked,3,暗影处刑,721,405,178.0,13
cls_ci_ke,30,naked,0,刺击,675,1601,42.2,30
cls_ci_ke,30,naked,0,割裂,576,1601,36.0,30
cls_ci_ke,30,naked,0,双刃乱舞,1239,1601,77.4,30
cls_ci_ke,30,naked,0,淬毒,486,1601,30.4,30
cls_ci_ke,30,naked,0,暗杀,1423,1601,88.9,30
cls_ci_ke,30,naked,0,影袭,594,1601,37.1,30
cls_ci_ke,30,naked,0,毒雾,363,1601,22.7,30
cls_ci_ke,30,naked,0,暗影处刑,1653,1601,103.2,30
cls_ci_ke,30,naked,3,刺击,679,1849,36.7,33
cls_ci_ke,30,naked,3,割裂,573,1849,31.0,33
cls_ci_ke,30,naked,3,双刃乱舞,1202,1849,65.0,33
cls_ci_ke,30,naked,3,淬毒,472,1849,25.5,33
cls_ci_ke,30,naked,3,暗杀,1201,1849,65.0,33
cls_ci_ke,30,naked,3,影袭,616,1849,33.3,33
cls_ci_ke,30,naked,3,毒雾,333,1849,18.0,33
cls_ci_ke,30,naked,3,暗影处刑,1738,1849,94.0,33
cls_ci_ke,30,naked,5,刺击,634,2023,31.3,35
cls_ci_ke,30,naked,5,割裂,559,2023,27.6,35
cls_ci_ke,30,naked,5,双刃乱舞,1131,2023,55.9,35
cls_ci_ke,30,naked,5,淬毒,442,2023,21.8,35
cls_ci_ke,30,naked,5,暗杀,1336,2023,66.0,35
cls_ci_ke,30,naked,5,影袭,600,2023,29.7,35
cls_ci_ke,30,naked,5,毒雾,320,2023,15.8,35
cls_ci_ke,30,naked,5,暗影处刑,1944,2023,96.1,35
cls_ci_ke,40,naked,0,刺击,748,2490,30.0,40
cls_ci_ke,40,naked,0,割裂,715,2490,28.7,40
cls_ci_ke,40,naked,0,双刃乱舞,1492,2490,59.9,40
cls_ci_ke,40,naked,0,淬毒,576,2490,23.1,40
cls_ci_ke,40,naked,0,暗杀,1647,2490,66.1,40
cls_ci_ke,40,naked,0,影袭,706,2490,28.4,40
cls_ci_ke,40,naked,0,毒雾,372,2490,14.9,40
cls_ci_ke,40,naked,0,暗影处刑,2404,2490,96.5,40
cls_ci_ke,40,naked,3,刺击,756,2792,27.1,43
cls_ci_ke,40,naked,3,割裂,688,2792,24.6,43
cls_ci_ke,40,naked,3,双刃乱舞,1422,2792,50.9,43
cls_ci_ke,40,naked,3,淬毒,577,2792,20.7,43
cls_ci_ke,40,naked,3,暗杀,1674,2792,60.0,43
cls_ci_ke,40,naked,3,影袭,670,2792,24.0,43
cls_ci_ke,40,naked,3,毒雾,399,2792,14.3,43
