cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_fa_shi,10,naked,0,火球术,130,315,41.3,10
cls_fa_shi,10,naked,0,冰晶术,180,315,57.1,10
cls_fa_shi,10,naked,0,冰锥,195,315,61.9,10
cls_fa_shi,10,naked,0,雷击,136,315,43.2,10
cls_fa_shi,10,naked,0,元素爆发,283,315,89.8,10
cls_fa_shi,10,naked,0,元素弹幕,313,315,99.4,10
cls_fa_shi,10,naked,0,冰霜新星,88,315,27.9,10
cls_fa_shi,10,naked,0,元素风暴,244,315,77.5,10
cls_fa_shi,10,naked,0,陨石术,51,315,16.2,10
cls_fa_shi,10,naked,0,法术禁制,42,315,13.3,10
cls_fa_shi,10,naked,3,火球术,190,405,46.9,13
cls_fa_shi,10,naked,3,冰晶术,220,405,54.3,13
cls_fa_shi,10,naked,3,冰锥,283,405,69.9,13
cls_fa_shi,10,naked,3,雷击,285,405,70.4,13
cls_fa_shi,10,naked,3,元素爆发,187,405,46.2,13
cls_fa_shi,10,naked,3,元素弹幕,388,405,95.8,13
cls_fa_shi,10,naked,3,冰霜新星,81,405,20.0,13
cls_fa_shi,10,naked,3,元素风暴,225,405,55.6,13
cls_fa_shi,10,naked,3,陨石术,65,405,16.0,13
cls_fa_shi,10,naked,3,法术禁制,49,405,12.1,13
cls_fa_shi,10,naked,5,火球术,234,465,50.3,15
cls_fa_shi,10,naked,5,冰晶术,168,465,36.1,15
cls_fa_shi,10,naked,5,冰锥,231,465,49.7,15
cls_fa_shi,10,naked,5,雷击,298,465,64.1,15
cls_fa_shi,10,naked,5,元素爆发,173,465,37.2,15
cls_fa_shi,10,naked,5,元素弹幕,439,465,94.4,15
cls_fa_shi,10,naked,5,冰霜新星,70,465,15.1,15
cls_fa_shi,10,naked,5,元素风暴,209,465,44.9,15
cls_fa_shi,10,naked,5,陨石术,71,465,15.3,15
cls_fa_shi,10,naked,5,法术禁制,37,465,8.0,15
cls_fa_shi,20,naked,0,火球术,197,768,25.7,20
cls_fa_shi,20,naked,0,冰晶术,262,768,34.1,20
cls_fa_shi,20,naked,0,冰锥,270,768,35.2,20
cls_fa_shi,20,naked,0,雷击,345,768,44.9,20
cls_fa_shi,20,naked,0,元素爆发,331,768,43.1,20
cls_fa_shi,20,naked,0,元素弹幕,365,768,47.5,20
cls_fa_shi,20,naked,0,冰霜新星,149,768,19.4,20
cls_fa_shi,20,naked,0,元素风暴,374,768,48.7,20
cls_fa_shi,20,naked,0,陨石术,94,768,12.2,20
cls_fa_shi,20,naked,0,法术禁制,73,768,9.5,20
cls_fa_shi,20,naked,3,火球术,342,986,34.7,23
cls_fa_shi,20,naked,3,冰晶术,400,986,40.6,23
cls_fa_shi,20,naked,3,冰锥,495,986,50.2,23
cls_fa_shi,20,naked,3,雷击,330,986,33.5,23
cls_fa_shi,20,naked,3,元素爆发,562,986,57.0,23
cls_fa_shi,20,naked,3,元素弹幕,526,986,53.3,23
cls_fa_shi,20,naked,3,冰霜新星,141,986,14.3,23
cls_fa_shi,20,naked,3,元素风暴,407,986,41.3,23
cls_fa_shi,20,naked,3,陨石术,108,986,11.0,23
cls_fa_shi,20,naked,3,法术禁制,52,986,5.3,23
cls_fa_shi,20,naked,5,火球术,265,1147,23.1,25
cls_fa_shi,20,naked,5,冰晶术,355,1147,31.0,25
cls_fa_shi,20,naked,5,冰锥,301,1147,26.2,25
cls_fa_shi,20,naked,5,雷击,316,1147,27.6,25
cls_fa_shi,20,naked,5,元素爆发,631,1147,55.0,25
cls_fa_shi,20,naked,5,元素弹幕,505,1147,44.0,25
cls_fa_shi,20,naked,5,冰霜新星,143,1147,12.5,25
cls_fa_shi,20,naked,5,元素风暴,494,1147,43.1,25
cls_fa_shi,20,naked,5,陨石术,110,1147,9.6,25
cls_fa_shi,20,naked,5,法术禁制,76,1147,6.6,25
cls_fa_shi,30,naked,0,火球术,522,1601,32.6,30
cls_fa_shi,30,naked,0,冰晶术,603,1601,37.7,30
cls_fa_shi,30,naked,0,冰锥,775,1601,48.4,30
cls_fa_shi,30,naked,0,雷击,780,1601,48.7,30
cls_fa_shi,30,naked,0,元素爆发,507,1601,31.7,30
cls_fa_shi,30,naked,0,元素弹幕,1068,1601,66.7,30
cls_fa_shi,30,naked,0,冰霜新星,225,1601,14.1,30
cls_fa_shi,30,naked,0,元素风暴,630,1601,39.4,30
cls_fa_shi,30,naked,0,陨石术,143,1601,8.9,30
cls_fa_shi,30,naked,0,法术禁制,145,1601,9.1,30
cls_fa_shi,30,naked,3,火球术,670,1849,36.2,33
cls_fa_shi,30,naked,3,冰晶术,711,1849,38.5,33
cls_fa_shi,30,naked,3,冰锥,738,1849,39.9,33
cls_fa_shi,30,naked,3,雷击,372,1849,20.1,33
cls_fa_shi,30,naked,3,元素爆发,718,1849,38.8,33
cls_fa_shi,30,naked,3,元素弹幕,1051,1849,56.8,33
cls_fa_shi,30,naked,3,冰霜新星,224,1849,12.1,33
cls_fa_shi,30,naked,3,元素风暴,633,1849,34.2,33
cls_fa_shi,30,naked,3,陨石术,150,1849,8.1,33
cls_fa_shi,30,naked,3,法术禁制,61,1849,3.3,33
cls_fa_shi,30,naked,5,火球术,550,2023,27.2,35
cls_fa_shi,30,naked,5,冰晶术,313,2023,15.5,35
cls_fa_shi,30,naked,5,冰锥,331,2023,16.4,35
cls_fa_shi,30,naked,5,雷击,355,2023,17.5,35
cls_fa_shi,30,naked,5,元素爆发,497,2023,24.6,35
cls_fa_shi,30,naked,5,元素弹幕,1009,2023,49.9,35
cls_fa_shi,30,naked,5,冰霜新星,225,2023,11.1,35
cls_fa_shi,30,naked,5,元素风暴,611,2023,30.2,35
cls_fa_shi,30,naked,5,陨石术,150,2023,7.4,35
cls_fa_shi,30,naked,5,法术禁制,136,2023,6.7,35
cls_fa_shi,40,naked,0,火球术,522,2490,21.0,40
cls_fa_shi,40,naked,0,冰晶术,756,2490,30.4,40
cls_fa_shi,40,naked,0,冰锥,931,2490,37.4,40
cls_fa_shi,40,naked,0,雷击,621,2490,24.9,40
cls_fa_shi,40,naked,0,元素爆发,1057,2490,42.4,40
cls_fa_shi,40,naked,0,元素弹幕,994,2490,39.9,40
cls_fa_shi,40,naked,0,冰霜新星,268,2490,10.8,40
cls_fa_shi,40,naked,0,元素风暴,645,2490,25.9,40
cls_fa_shi,40,naked,0,陨石术,170,2490,6.8,40
cls_fa_shi,40,naked,0,法术禁制,102,2490,4.1,40
cls_fa_shi,40,naked,3,火球术,483,2792,17.3,43
cls_fa_shi,40,naked,3,冰晶术,798,2792,28.6,43
cls_fa_shi,40,naked,3,冰锥,610,2792,21.8,43
cls_fa_shi,40,naked,3,雷击,445,2792,15.9,43
cls_fa_shi,40,naked,3,元素爆发,577,2792,20.7,43
cls_fa_shi,40,naked,3,元素弹幕,855,2792,30.6,43
cls_fa_shi,40,naked,3,冰霜新星,554,2792,19.8,43
cls_fa_shi,40,naked,3,元素风暴,978,2792,35.0,43
cls_fa_shi,40,naked,3,陨石术,285,2792,10.2,43
cls_fa_shi,40,naked,3,法术禁制,91,2792,3.3,43
cls_fa_shi,40,naked,5,火球术,720,3003,24.0,45
cls_fa_shi,40,naked,5,冰晶术,481,3003,16.0,45
cls_fa_shi,40,naked,5,冰锥,576,3003,19.2,45
cls_fa_shi,40,naked,5,雷击,543,3003,18.1,45
cls_fa_shi,40,naked,5,元素爆发,584,3003,19.4,45
cls_fa_shi,40,naked,5,元素弹幕,1405,3003,46.8,45
cls_fa_shi,40,naked,5,冰霜新星,273,3003,9.1,45
cls_fa_shi,40,naked,5,元素风暴,683,3003,22.7,45
cls_fa_shi,40,naked,5,陨石术,301,3003,10.0,45
cls_fa_shi,40,naked,5,法术禁制,90,3003,3.0,45
cls_fa_shi,50,naked,0,火球术,1005,3560,28.2,50
cls_fa_shi,50,naked,0,冰晶术,1068,3560,30.0,50
cls_fa_shi,50,naked,0,冰锥,1107,3560,31.1,50
cls_fa_shi,50,naked,0,雷击,557,3560,15.6,50
cls_fa_shi,50,naked,0,元素爆发,1075,3560,30.2,50
cls_fa_shi,50,naked,0,元素弹幕,1129,3560,31.7,50
cls_fa_shi,50,naked,0,冰霜新星,337,3560,9.5,50
cls_fa_shi,50,naked,0,元素风暴,950,3560,26.7,50
cls_fa_shi,50,naked,0,陨石术,187,3560,5.3,50
cls_fa_shi,50,naked,0,法术禁制,91,3560,2.6,50
cls_fa_shi,50,naked,3,火球术,428,3916,10.9,53
cls_fa_shi,50,naked,3,冰晶术,669,3916,17.1,53
cls_fa_shi,50,naked,3,冰锥,855,3916,21.8,53
cls_fa_shi,50,naked,3,雷击,512,3916,13.1,53
cls_fa_shi,50,naked,3,元素爆发,713,3916,18.2,53
cls_fa_shi,50,naked,3,元素弹幕,1713,3916,43.7,53
cls_fa_shi,50,naked,3,冰霜新星,335,3916,8.6,53
cls_fa_shi,50,naked,3,元素风暴,1109,3916,28.3,53
cls_fa_shi,50,naked,3,陨石术,295,3916,7.5,53
cls_fa_shi,50,naked,3,法术禁制,92,3916,2.3,53
cls_fa_shi,50,naked,5,火球术,978,4162,23.5,55
cls_fa_shi,50,naked,5,冰晶术,861,4162,20.7,55
cls_fa_shi,50,naked,5,冰锥,736,4162,17.7,55
cls_fa_shi,50,naked,5,雷击,522,4162,12.5,55
cls_fa_shi,50,naked,5,元素爆发,742,4162,17.8,55
cls_fa_shi,50,naked,5,元素弹幕,816,4162,19.6,55
cls_fa_shi,50,naked,5,冰霜新星,486,4162,11.7,55
cls_fa_shi,50,naked,5,元素风暴,951,4162,22.8,55
cls_fa_shi,50,naked,5,陨石术,336,4162,8.1,55
cls_fa_shi,50,naked,5,法术禁制,121,4162,2.9,55
cls_fa_shi,60,naked,0,火球术,831,4809,17.3,60
cls_fa_shi,60,naked,0,冰晶术,1374,4809,28.6,60
cls_fa_shi,60,naked,0,冰锥,1047,4809,21.8,60
cls_fa_shi,60,naked,0,雷击,981,4809,20.4,60
cls_fa_shi,60,naked,0,元素爆发,983,4809,20.4,60
cls_fa_shi,60,naked,0,元素弹幕,1475,4809,30.7,60
cls_fa_shi,60,naked,0,冰霜新星,962,4809,20.0,60
cls_fa_shi,60,naked,0,元素风暴,1279,4809,26.6,60
cls_fa_shi,60,naked,0,陨石术,0,4809,0.0,60
cls_fa_shi,60,naked,0,法术禁制,163,4809,3.4,60
cls_fa_shi,60,naked,3,火球术,756,5162,14.6,63
cls_fa_shi,60,naked,3,冰晶术,936,5162,18.1,63
cls_fa_shi,60,naked,3,冰锥,1266,5162,24.5,63
cls_fa_shi,60,naked,3,雷击,960,5162,18.6,63
cls_fa_shi,60,naked,3,元素爆发,1012,5162,19.6,63
cls_fa_shi,60,naked,3,元素弹幕,1386,5162,26.9,63
cls_fa_shi,60,naked,3,冰霜新星,461,5162,8.9,63
cls_fa_shi,60,naked,3,元素风暴,1301,5162,25.2,63
cls_fa_shi,60,naked,3,陨石术,231,5162,4.5,63
