cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_mu_shi,10,naked,0,圣光弹,122,315,38.7,10
cls_mu_shi,10,naked,0,圣光术,156,315,49.5,10
cls_mu_shi,10,naked,0,惩戒,114,315,36.2,10
cls_mu_shi,10,naked,0,圣光惩击,302,315,95.9,10
cls_mu_shi,10,naked,0,神罚·圣裁,498,315,158.1,10
cls_mu_shi,10,naked,3,圣光弹,186,405,45.9,13
cls_mu_shi,10,naked,3,圣光术,189,405,46.7,13
cls_mu_shi,10,naked,3,惩戒,108,405,26.7,13
cls_mu_shi,10,naked,3,圣光惩击,558,405,137.8,13
cls_mu_shi,10,naked,3,神罚·圣裁,331,405,81.7,13
cls_mu_shi,10,naked,5,圣光弹,180,465,38.7,15
cls_mu_shi,10,naked,5,圣光术,138,465,29.7,15
cls_mu_shi,10,naked,5,惩戒,104,465,22.4,15
cls_mu_shi,10,naked,5,圣光惩击,294,465,63.2,15
cls_mu_shi,10,naked,5,神罚·圣裁,310,465,66.7,15
cls_mu_shi,10,blue5,0,圣光弹,153,315,48.6,10
cls_mu_shi,10,blue5,0,圣光术,265,315,84.1,10
cls_mu_shi,10,blue5,0,惩戒,192,315,61.0,10
cls_mu_shi,10,blue5,0,圣光惩击,492,315,156.2,10
cls_mu_shi,10,blue5,0,神罚·圣裁,812,315,257.8,10
cls_mu_shi,10,blue5,3,圣光弹,325,405,80.2,13
cls_mu_shi,10,blue5,3,圣光术,328,405,81.0,13
cls_mu_shi,10,blue5,3,惩戒,186,405,45.9,13
cls_mu_shi,10,blue5,3,圣光惩击,915,405,225.9,13
cls_mu_shi,10,blue5,3,神罚·圣裁,543,405,134.1,13
cls_mu_shi,10,blue5,5,圣光弹,315,465,67.7,15
cls_mu_shi,10,blue5,5,圣光术,240,465,51.6,15
cls_mu_shi,10,blue5,5,惩戒,181,465,38.9,15
cls_mu_shi,10,blue5,5,圣光惩击,485,465,104.3,15
cls_mu_shi,10,blue5,5,神罚·圣裁,511,465,109.9,15
cls_mu_shi,20,naked,0,圣光弹,237,768,30.9,20
cls_mu_shi,20,naked,0,圣光术,184,768,24.0,20
cls_mu_shi,20,naked,0,惩戒,237,768,30.9,20
cls_mu_shi,20,naked,0,圣光惩击,783,768,102.0,20
cls_mu_shi,20,naked,0,神罚·圣裁,596,768,77.6,20
cls_mu_shi,20,naked,3,圣光弹,217,986,22.0,23
cls_mu_shi,20,naked,3,圣光术,351,986,35.6,23
cls_mu_shi,20,naked,3,惩戒,189,986,19.2,23
cls_mu_shi,20,naked,3,圣光惩击,753,986,76.4,23
cls_mu_shi,20,naked,3,神罚·圣裁,1017,986,103.1,23
cls_mu_shi,20,naked,5,圣光弹,207,1147,18.0,25
cls_mu_shi,20,naked,5,圣光术,310,1147,27.0,25
cls_mu_shi,20,naked,5,惩戒,262,1147,22.8,25
cls_mu_shi,20,naked,5,圣光惩击,670,1147,58.4,25
cls_mu_shi,20,naked,5,神罚·圣裁,1148,1147,100.1,25
cls_mu_shi,20,blue5,0,圣光弹,406,768,52.9,20
cls_mu_shi,20,blue5,0,圣光术,314,768,40.9,20
cls_mu_shi,20,blue5,0,惩戒,405,768,52.7,20
