cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_wu_seng,10,naked,0,直拳,208,315,66.0,10
cls_wu_seng,10,naked,0,冲拳,127,315,40.3,10
cls_wu_seng,10,naked,0,碎骨拳,243,315,77.1,10
cls_wu_seng,10,naked,0,回旋踢,120,315,38.1,10
cls_wu_seng,10,naked,0,震地击,161,315,51.1,10
cls_wu_seng,10,naked,0,侧踢,186,315,59.0,10
cls_wu_seng,10,naked,0,钢拳,198,315,62.9,10
cls_wu_seng,10,naked,0,连招三连,474,315,150.5,10
cls_wu_seng,10,naked,0,破晓之拳,501,315,159.0,10
cls_wu_seng,10,naked,3,直拳,208,405,51.4,13
cls_wu_seng,10,naked,3,冲拳,162,405,40.0,13
cls_wu_seng,10,naked,3,碎骨拳,343,405,84.7,13
cls_wu_seng,10,naked,3,回旋踢,185,405,45.7,13
cls_wu_seng,10,naked,3,震地击,216,405,53.3,13
cls_wu_seng,10,naked,3,侧踢,145,405,35.8,13
cls_wu_seng,10,naked,3,钢拳,195,405,48.1,13
cls_wu_seng,10,naked,3,连招三连,448,405,110.6,13
cls_wu_seng,10,naked,3,破晓之拳,937,405,231.4,13
cls_wu_seng,10,naked,5,直拳,198,465,42.6,15
cls_wu_seng,10,naked,5,冲拳,111,465,23.9,15
cls_wu_seng,10,naked,5,碎骨拳,505,465,108.6,15
cls_wu_seng,10,naked,5,回旋踢,189,465,40.6,15
cls_wu_seng,10,naked,5,震地击,212,465,45.6,15
cls_wu_seng,10,naked,5,侧踢,163,465,35.1,15
cls_wu_seng,10,naked,5,钢拳,180,465,38.7,15
cls_wu_seng,10,naked,5,连招三连,411,465,88.4,15
cls_wu_seng,10,naked,5,破晓之拳,829,465,178.3,15
cls_wu_seng,20,naked,0,直拳,268,768,34.9,20
cls_wu_seng,20,naked,0,冲拳,189,768,24.6,20
cls_wu_seng,20,naked,0,碎骨拳,439,768,57.2,20
cls_wu_seng,20,naked,0,回旋踢,240,768,31.2,20
cls_wu_seng,20,naked,0,震地击,413,768,53.8,20
cls_wu_seng,20,naked,0,侧踢,274,768,35.7,20
cls_wu_seng,20,naked,0,钢拳,232,768,30.2,20
cls_wu_seng,20,naked,0,连招三连,823,768,107.2,20
cls_wu_seng,20,naked,0,破晓之拳,1579,768,205.6,20
cls_wu_seng,20,naked,3,直拳,298,986,30.2,23
cls_wu_seng,20,naked,3,冲拳,279,986,28.3,23
cls_wu_seng,20,naked,3,碎骨拳,883,986,89.6,23
cls_wu_seng,20,naked,3,回旋踢,219,986,22.2,23
cls_wu_seng,20,naked,3,震地击,311,986,31.5,23
cls_wu_seng,20,naked,3,侧踢,205,986,20.8,23
cls_wu_seng,20,naked,3,钢拳,223,986,22.6,23
cls_wu_seng,20,naked,3,连招三连,1009,986,102.3,23
cls_wu_seng,20,naked,3,破晓之拳,1224,986,124.1,23
cls_wu_seng,20,naked,5,直拳,229,1147,20.0,25
cls_wu_seng,20,naked,5,冲拳,244,1147,21.3,25
cls_wu_seng,20,naked,5,碎骨拳,886,1147,77.2,25
cls_wu_seng,20,naked,5,回旋踢,320,1147,27.9,25
cls_wu_seng,20,naked,5,震地击,360,1147,31.4,25
cls_wu_seng,20,naked,5,侧踢,210,1147,18.3,25
