cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_you_xia,10,naked,0,疾风连射,140,315,44.4,10
cls_you_xia,10,naked,0,瞄准射击,168,315,53.3,10
cls_you_xia,10,naked,0,致命狙击,276,315,87.6,10
cls_you_xia,10,naked,0,猎网陷阱,216,315,68.6,10
cls_you_xia,10,naked,0,林语印记,180,315,57.1,10
cls_you_xia,10,naked,0,淬毒箭矢,117,315,37.1,10
cls_you_xia,10,naked,0,狩猎终章,945,315,300.0,10
cls_you_xia,10,naked,0,蓄力狙击,0,315,0.0,10
cls_you_xia,10,naked,3,疾风连射,118,405,29.1,13
cls_you_xia,10,naked,3,瞄准射击,216,405,53.3,13
cls_you_xia,10,naked,3,致命狙击,321,405,79.3,13
cls_you_xia,10,naked,3,猎网陷阱,180,405,44.4,13
cls_you_xia,10,naked,3,林语印记,244,405,60.2,13
cls_you_xia,10,naked,3,淬毒箭矢,90,405,22.2,13
cls_you_xia,10,naked,3,狩猎终章,996,405,245.9,13
cls_you_xia,10,naked,3,蓄力狙击,0,405,0.0,13
cls_you_xia,10,naked,5,疾风连射,109,465,23.4,15
cls_you_xia,10,naked,5,瞄准射击,150,465,32.3,15
cls_you_xia,10,naked,5,致命狙击,297,465,63.9,15
cls_you_xia,10,naked,5,猎网陷阱,184,465,39.6,15
cls_you_xia,10,naked,5,林语印记,240,465,51.6,15
cls_you_xia,10,naked,5,淬毒箭矢,100,465,21.5,15
cls_you_xia,10,naked,5,狩猎终章,942,465,202.6,15
cls_you_xia,10,naked,5,蓄力狙击,0,465,0.0,15
cls_you_xia,10,blue5,0,疾风连射,271,315,86.0,10
cls_you_xia,10,blue5,0,瞄准射击,298,315,94.6,10
cls_you_xia,10,blue5,0,致命狙击,478,315,151.7,10
cls_you_xia,10,blue5,0,猎网陷阱,384,315,121.9,10
cls_you_xia,10,blue5,0,林语印记,316,315,100.3,10
cls_you_xia,10,blue5,0,淬毒箭矢,217,315,68.9,10
cls_you_xia,10,blue5,0,狩猎终章,1558,315,494.6,10
cls_you_xia,10,blue5,0,蓄力狙击,0,315,0.0,10
cls_you_xia,10,blue5,3,疾风连射,241,405,59.5,13
cls_you_xia,10,blue5,3,瞄准射击,391,405,96.5,13
cls_you_xia,10,blue5,3,致命狙击,573,405,141.5,13
cls_you_xia,10,blue5,3,猎网陷阱,328,405,81.0,13
cls_you_xia,10,blue5,3,林语印记,438,405,108.1,13
cls_you_xia,10,blue5,3,淬毒箭矢,172,405,42.5,13
cls_you_xia,10,blue5,3,狩猎终章,1660,405,409.9,13
cls_you_xia,10,blue5,3,蓄力狙击,0,405,0.0,13
cls_you_xia,10,blue5,5,疾风连射,223,465,48.0,15
cls_you_xia,10,blue5,5,瞄准射击,276,465,59.4,15
cls_you_xia,10,blue5,5,致命狙击,532,465,114.4,15
cls_you_xia,10,blue5,5,猎网陷阱,342,465,73.5,15
cls_you_xia,10,blue5,5,林语印记,436,465,93.8,15
cls_you_xia,10,blue5,5,淬毒箭矢,195,465,41.9,15
cls_you_xia,10,blue5,5,狩猎终章,1579,465,339.6,15
cls_you_xia,10,blue5,5,蓄力狙击,0,465,0.0,15
cls_you_xia,20,naked,0,疾风连射,163,768,21.2,20
