cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_zhan_shi,10,naked,0,挥砍,85,315,27.0,10
cls_zhan_shi,10,naked,0,猛击,108,315,34.3,10
cls_zhan_shi,10,naked,0,破甲斩,366,315,116.2,10
cls_zhan_shi,10,naked,0,旋风斩,209,315,66.3,10
cls_zhan_shi,10,naked,0,裂地斩,537,315,170.5,10
cls_zhan_shi,10,naked,0,蓄力斩,48,315,15.2,10
cls_zhan_shi,10,naked,0,盾击,163,315,51.7,10
cls_zhan_shi,10,naked,0,战争践踏,74,315,23.5,10
cls_zhan_shi,10,naked,0,无畏冲击,604,315,191.7,10
cls_zhan_shi,10,naked,3,挥砍,171,405,42.2,13
cls_zhan_shi,10,naked,3,猛击,186,405,45.9,13
cls_zhan_shi,10,naked,3,破甲斩,282,405,69.6,13
cls_zhan_shi,10,naked,3,旋风斩,284,405,70.1,13
cls_zhan_shi,10,naked,3,裂地斩,487,405,120.2,13
cls_zhan_shi,10,naked,3,蓄力斩,81,405,20.0,13
cls_zhan_shi,10,naked,3,盾击,243,405,60.0,13
cls_zhan_shi,10,naked,3,战争践踏,80,405,19.8,13
cls_zhan_shi,10,naked,3,无畏冲击,610,405,150.6,13
cls_zhan_shi,10,naked,5,挥砍,162,465,34.8,15
cls_zhan_shi,10,naked,5,猛击,133,465,28.6,15
cls_zhan_shi,10,naked,5,破甲斩,212,465,45.6,15
cls_zhan_shi,10,naked,5,旋风斩,342,465,73.5,15
cls_zhan_shi,10,naked,5,裂地斩,811,465,174.4,15
cls_zhan_shi,10,naked,5,蓄力斩,62,465,13.3,15
cls_zhan_shi,10,naked,5,盾击,145,465,31.2,15
cls_zhan_shi,10,naked,5,战争践踏,77,465,16.6,15
cls_zhan_shi,10,naked,5,无畏冲击,606,465,130.3,15
cls_zhan_shi,20,naked,0,挥砍,217,768,28.3,20
cls_zhan_shi,20,naked,0,猛击,183,768,23.8,20
cls_zhan_shi,20,naked,0,破甲斩,450,768,58.6,20
cls_zhan_shi,20,naked,0,旋风斩,405,768,52.7,20
cls_zhan_shi,20,naked,0,裂地斩,1399,768,182.2,20
cls_zhan_shi,20,naked,0,蓄力斩,76,768,9.9,20
cls_zhan_shi,20,naked,0,盾击,282,768,36.7,20
cls_zhan_shi,20,naked,0,战争践踏,106,768,13.8,20
cls_zhan_shi,20,naked,0,无畏冲击,1899,768,247.3,20
cls_zhan_shi,20,naked,3,挥砍,195,986,19.8,23
cls_zhan_shi,20,naked,3,猛击,343,986,34.8,23
cls_zhan_shi,20,naked,3,破甲斩,841,986,85.3,23
cls_zhan_shi,20,naked,3,旋风斩,381,986,38.6,23
cls_zhan_shi,20,naked,3,裂地斩,1107,986,112.3,23
cls_zhan_shi,20,naked,3,蓄力斩,127,986,12.9,23
cls_zhan_shi,20,naked,3,盾击,271,986,27.5,23
cls_zhan_shi,20,naked,3,战争践踏,174,986,17.6,23
cls_zhan_shi,20,naked,3,无畏冲击,1494,986,151.5,23
cls_zhan_shi,20,naked,5,挥砍,184,1147,16.0,25
cls_zhan_shi,20,naked,5,猛击,301,1147,26.2,25
cls_zhan_shi,20,naked,5,破甲斩,796,1147,69.4,25
cls_zhan_shi,20,naked,5,旋风斩,363,1147,31.6,25
cls_zhan_shi,20,naked,5,裂地斩,1323,1147,115.3,25
cls_zhan_shi,20,naked,5,蓄力斩,96,1147,8.4,25
cls_zhan_shi,20,naked,5,盾击,268,1147,23.4,25
cls_zhan_shi,20,naked,5,战争践踏,94,1147,8.2,25
cls_zhan_shi,20,naked,5,无畏冲击,1387,1147,120.9,25
cls_zhan_shi,30,naked,0,挥砍,481,1601,30.0,30
cls_zhan_shi,30,naked,0,猛击,523,1601,32.7,30
cls_zhan_shi,30,naked,0,破甲斩,753,1601,47.0,30
cls_zhan_shi,30,naked,0,旋风斩,791,1601,49.4,30
cls_zhan_shi,30,naked,0,裂地斩,1300,1601,81.2,30
cls_zhan_shi,30,naked,0,蓄力斩,162,1601,10.1,30
cls_zhan_shi,30,naked,0,盾击,676,1601,42.2,30
cls_zhan_shi,30,naked,0,战争践踏,227,1601,14.2,30
cls_zhan_shi,30,naked,0,无畏冲击,1625,1601,101.5,30
cls_zhan_shi,30,naked,3,挥砍,477,1849,25.8,33
cls_zhan_shi,30,naked,3,猛击,609,1849,32.9,33
cls_zhan_shi,30,naked,3,破甲斩,1237,1849,66.9,33
cls_zhan_shi,30,naked,3,旋风斩,432,1849,23.4,33
cls_zhan_shi,30,naked,3,裂地斩,1393,1849,75.3,33
cls_zhan_shi,30,naked,3,蓄力斩,121,1849,6.5,33
cls_zhan_shi,30,naked,3,盾击,301,1849,16.3,33
cls_zhan_shi,30,naked,3,战争践踏,155,1849,8.4,33
cls_zhan_shi,30,naked,3,无畏冲击,1607,1849,86.9,33
cls_zhan_shi,30,naked,5,挥砍,207,2023,10.2,35
cls_zhan_shi,30,naked,5,猛击,266,2023,13.1,35
cls_zhan_shi,30,naked,5,破甲斩,560,2023,27.7,35
cls_zhan_shi,30,naked,5,旋风斩,409,2023,20.2,35
cls_zhan_shi,30,naked,5,裂地斩,1369,2023,67.7,35
cls_zhan_shi,30,naked,5,蓄力斩,153,2023,7.6,35
cls_zhan_shi,30,naked,5,盾击,585,2023,28.9,35
