cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_zhan_shi,40,naked,0,怒斩,1599,2490,64.2,40
cls_zhan_shi,40,naked,0,盾击·卫,1540,2490,61.8,40
cls_zhan_shi,50,naked,0,怒斩,3084,3560,86.6,50
cls_zhan_shi,50,naked,0,嗜血斩,1338,3560,37.6,50
cls_zhan_shi,50,naked,0,盾击·卫,2133,3560,59.9,50
cls_zhan_shi,60,naked,0,怒斩,2514,4809,52.3,60
cls_zhan_shi,60,naked,0,嗜血斩,1719,4809,35.7,60
cls_zhan_shi,60,naked,0,狂怒爆发,3252,4809,67.6,60
cls_zhan_shi,60,naked,0,龙息之怒,650,4809,13.5,60
cls_zhan_shi,60,naked,0,盾击·卫,1278,4809,26.6,60
cls_zhan_shi,70,naked,0,怒斩,1828,6027,30.3,70
cls_zhan_shi,70,naked,0,嗜血斩,1162,6027,19.3,70
cls_zhan_shi,70,naked,0,狂怒爆发,3736,6027,62.0,70
cls_zhan_shi,70,naked,0,龙息之怒,624,6027,10.4,70
cls_zhan_shi,70,naked,0,盾击·卫,1284,6027,21.3,70
cls_zhan_shi,70,naked,0,乱舞,3282,6027,54.5,70
cls_zhan_shi,70,naked,0,处决,1703,6027,28.3,70
cls_zhan_shi,70,naked,0,破城锤,4510,6027,74.8,70
cls_zhan_shi,80,naked,0,怒斩,2629,7365,35.7,80
cls_zhan_shi,80,naked,0,嗜血斩,1327,7365,18.0,80
cls_zhan_shi,80,naked,0,狂怒爆发,4959,7365,67.3,80
cls_zhan_shi,80,naked,0,龙息之怒,768,7365,10.4,80
cls_zhan_shi,80,naked,0,盾击·卫,3165,7365,43.0,80
cls_zhan_shi,80,naked,0,乱舞,1667,7365,22.6,80
cls_zhan_shi,80,naked,0,处决,3543,7365,48.1,80
cls_zhan_shi,80,naked,0,破城锤,6270,7365,85.1,80
cls_zhan_shi,90,naked,0,怒斩,6732,8823,76.3,90
cls_zhan_shi,90,naked,0,嗜血斩,1999,8823,22.7,90
cls_zhan_shi,90,naked,0,狂怒爆发,4810,8823,54.5,90
cls_zhan_shi,90,naked,0,龙息之怒,1519,8823,17.2,90
cls_zhan_shi,90,naked,0,盾击·卫,3960,8823,44.9,90
cls_zhan_shi,90,naked,0,乱舞,5023,8823,56.9,90
cls_zhan_shi,90,naked,0,处决,2677,8823,30.3,90
cls_zhan_shi,90,naked,0,破城锤,3864,8823,43.8,90
cls_zhan_shi,100,naked,0,怒斩,3570,10401,34.3,100
cls_zhan_shi,100,naked,0,嗜血斩,1422,10401,13.7,100
cls_zhan_shi,100,naked,0,狂怒爆发,3091,10401,29.7,100
cls_zhan_shi,100,naked,0,龙息之怒,2052,10401,19.7,100
cls_zhan_shi,100,naked,0,盾击·卫,2464,10401,23.7,100
cls_zhan_shi,100,naked,0,乱舞,2038,10401,19.6,100
cls_zhan_shi,100,naked,0,处决,3042,10401,29.2,100
cls_zhan_shi,100,naked,0,破城锤,4834,10401,46.5,100
cls_zhan_shi,100,naked,0,怒涛连斩,7254,10401,69.7,100
cls_zhan_shi,100,naked,0,战争化身,9213,10401,88.6,100
