cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_ci_ke,10,naked,0,刺击,191,315,60.6,10
cls_ci_ke,10,naked,0,割裂,169,315,53.7,10
cls_ci_ke,10,naked,0,双刃乱舞,175,315,55.6,10
cls_ci_ke,10,naked,3,刺击,160,405,39.5,13
cls_ci_ke,10,naked,3,割裂,136,405,33.6,13
cls_ci_ke,10,naked,3,双刃乱舞,141,405,34.8,13
cls_ci_ke,10,naked,5,刺击,127,465,27.3,15
cls_ci_ke,10,naked,5,割裂,108,465,23.2,15
cls_ci_ke,10,naked,5,双刃乱舞,101,465,21.7,15
cls_ci_ke,10,blue5,0,刺击,313,315,99.4,10
cls_ci_ke,10,blue5,0,割裂,282,315,89.5,10
cls_ci_ke,10,blue5,0,双刃乱舞,302,315,95.9,10
cls_ci_ke,10,blue5,3,刺击,270,405,66.7,13
cls_ci_ke,10,blue5,3,割裂,231,405,57.0,13
cls_ci_ke,10,blue5,3,双刃乱舞,247,405,61.0,13
cls_ci_ke,10,blue5,5,刺击,216,465,46.5,15
cls_ci_ke,10,blue5,5,割裂,186,465,40.0,15
cls_ci_ke,10,blue5,5,双刃乱舞,182,465,39.1,15
cls_ci_ke,20,naked,0,刺击,352,768,45.8,20
cls_ci_ke,20,naked,0,割裂,292,768,38.0,20
cls_ci_ke,20,naked,0,双刃乱舞,272,768,35.4,20
cls_ci_ke,20,naked,0,淬毒,237,768,30.9,20
cls_ci_ke,20,naked,0,暗杀,278,768,36.2,20
cls_ci_ke,20,naked,0,影袭,313,768,40.8,20
cls_ci_ke,20,naked,3,刺击,258,986,26.2,23
cls_ci_ke,20,naked,3,割裂,245,986,24.8,23
cls_ci_ke,20,naked,3,双刃乱舞,250,986,25.4,23
cls_ci_ke,20,naked,3,淬毒,198,986,20.1,23
cls_ci_ke,20,naked,3,暗杀,224,986,22.7,23
cls_ci_ke,20,naked,3,影袭,243,986,24.6,23
cls_ci_ke,20,naked,5,刺击,195,1147,17.0,25
cls_ci_ke,20,naked,5,割裂,186,1147,16.2,25
