cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_fa_shi,10,naked,0,火球术,118,315,37.5,10
cls_fa_shi,10,naked,0,冰晶术,165,315,52.4,10
cls_fa_shi,10,naked,0,冰锥,153,315,48.6,10
cls_fa_shi,10,naked,0,元素弹幕,173,315,54.9,10
cls_fa_shi,10,naked,3,火球术,127,405,31.4,13
cls_fa_shi,10,naked,3,冰晶术,150,405,37.0,13
cls_fa_shi,10,naked,3,冰锥,163,405,40.2,13
cls_fa_shi,10,naked,3,元素弹幕,177,405,43.7,13
cls_fa_shi,10,naked,5,火球术,127,465,27.3,15
cls_fa_shi,10,naked,5,冰晶术,106,465,22.8,15
cls_fa_shi,10,naked,5,冰锥,108,465,23.2,15
cls_fa_shi,10,naked,5,元素弹幕,143,465,30.8,15
cls_fa_shi,10,blue5,0,火球术,181,315,57.5,10
cls_fa_shi,10,blue5,0,冰晶术,249,315,79.0,10
cls_fa_shi,10,blue5,0,冰锥,234,315,74.3,10
cls_fa_shi,10,blue5,0,元素弹幕,268,315,85.1,10
cls_fa_shi,10,blue5,3,火球术,198,405,48.9,13
cls_fa_shi,10,blue5,3,冰晶术,228,405,56.3,13
cls_fa_shi,10,blue5,3,冰锥,251,405,62.0,13
cls_fa_shi,10,blue5,3,元素弹幕,278,405,68.6,13
cls_fa_shi,10,blue5,5,火球术,198,465,42.6,15
cls_fa_shi,10,blue5,5,冰晶术,165,465,35.5,15
cls_fa_shi,10,blue5,5,冰锥,167,465,35.9,15
cls_fa_shi,10,blue5,5,元素弹幕,225,465,48.4,15
cls_fa_shi,20,naked,0,火球术,178,768,23.2,20
cls_fa_shi,20,naked,0,冰晶术,240,768,31.2,20
cls_fa_shi,20,naked,0,冰锥,210,768,27.3,20
cls_fa_shi,20,naked,0,雷击,267,768,34.8,20
cls_fa_shi,20,naked,0,元素爆发,303,768,39.5,20
cls_fa_shi,20,naked,0,元素弹幕,268,768,34.9,20
cls_fa_shi,20,naked,0,法术禁制,43,768,5.6,20
cls_fa_shi,20,naked,3,火球术,230,986,23.3,23
cls_fa_shi,20,naked,3,冰晶术,270,986,27.4,23
cls_fa_shi,20,naked,3,冰锥,283,986,28.7,23
cls_fa_shi,20,naked,3,雷击,216,986,21.9,23
cls_fa_shi,20,naked,3,元素爆发,381,986,38.6,23
cls_fa_shi,20,naked,3,元素弹幕,275,986,27.9,23
cls_fa_shi,20,naked,3,法术禁制,28,986,2.8,23
cls_fa_shi,20,naked,5,火球术,166,1147,14.5,25
cls_fa_shi,20,naked,5,冰晶术,194,1147,16.9,25
cls_fa_shi,20,naked,5,冰锥,161,1147,14.0,25
cls_fa_shi,20,naked,5,雷击,169,1147,14.7,25
cls_fa_shi,20,naked,5,元素爆发,347,1147,30.3,25
cls_fa_shi,20,naked,5,元素弹幕,217,1147,18.9,25
cls_fa_shi,20,naked,5,法术禁制,22,1147,1.9,25
cls_fa_shi,20,blue5,0,火球术,275,768,35.8,20
cls_fa_shi,20,blue5,0,冰晶术,369,768,48.0,20
cls_fa_shi,20,blue5,0,冰锥,324,768,42.2,20
cls_fa_shi,20,blue5,0,雷击,529,768,68.9,20
cls_fa_shi,20,blue5,0,元素爆发,457,768,59.5,20
cls_fa_shi,20,blue5,0,元素弹幕,420,768,54.7,20
cls_fa_shi,20,blue5,0,法术禁制,75,768,9.8,20
cls_fa_shi,20,blue5,3,火球术,357,986,36.2,23
cls_fa_shi,20,blue5,3,冰晶术,418,986,42.4,23
cls_fa_shi,20,blue5,3,冰锥,442,986,44.8,23
cls_fa_shi,20,blue5,3,雷击,434,986,44.0,23
cls_fa_shi,20,blue5,3,元素爆发,579,986,58.7,23
cls_fa_shi,20,blue5,3,元素弹幕,433,986,43.9,23
cls_fa_shi,20,blue5,3,法术禁制,49,986,5.0,23
cls_fa_shi,20,blue5,5,火球术,259,1147,22.6,25
cls_fa_shi,20,blue5,5,冰晶术,302,1147,26.3,25
cls_fa_shi,20,blue5,5,冰锥,252,1147,22.0,25
cls_fa_shi,20,blue5,5,雷击,340,1147,29.6,25
cls_fa_shi,20,blue5,5,元素爆发,528,1147,46.0,25
