cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_mu_shi,10,naked,0,圣光弹,110,315,34.9,10
cls_mu_shi,10,naked,0,圣光术,141,315,44.8,10
cls_mu_shi,10,naked,0,惩戒,102,315,32.4,10
cls_mu_shi,10,naked,3,圣光弹,123,405,30.4,13
cls_mu_shi,10,naked,3,圣光术,126,405,31.1,13
cls_mu_shi,10,naked,3,惩戒,83,405,20.5,13
cls_mu_shi,10,naked,5,圣光弹,95,465,20.4,15
cls_mu_shi,10,naked,5,圣光术,85,465,18.3,15
cls_mu_shi,10,naked,5,惩戒,65,465,14.0,15
cls_mu_shi,10,blue5,0,圣光弹,180,315,57.1,10
cls_mu_shi,10,blue5,0,圣光术,232,315,73.7,10
cls_mu_shi,10,blue5,0,惩戒,169,315,53.7,10
cls_mu_shi,10,blue5,3,圣光弹,287,405,70.9,13
cls_mu_shi,10,blue5,3,圣光术,211,405,52.1,13
cls_mu_shi,10,blue5,3,惩戒,138,405,34.1,13
cls_mu_shi,10,blue5,5,圣光弹,225,465,48.4,15
cls_mu_shi,10,blue5,5,圣光术,144,465,31.0,15
cls_mu_shi,10,blue5,5,惩戒,109,465,23.4,15
cls_mu_shi,20,naked,0,圣光弹,210,768,27.3,20
cls_mu_shi,20,naked,0,圣光术,164,768,21.4,20
cls_mu_shi,20,naked,0,惩戒,211,768,27.5,20
cls_mu_shi,20,naked,0,圣光惩击,286,768,37.2,20
cls_mu_shi,20,naked,3,圣光弹,164,986,16.6,23
cls_mu_shi,20,naked,3,圣光术,231,986,23.4,23
cls_mu_shi,20,naked,3,惩戒,144,986,14.6,23
cls_mu_shi,20,naked,3,圣光惩击,232,986,23.5,23
cls_mu_shi,20,naked,5,圣光弹,127,1147,11.1,25
cls_mu_shi,20,naked,5,圣光术,165,1147,14.4,25
cls_mu_shi,20,naked,5,惩戒,162,1147,14.1,25
cls_mu_shi,20,naked,5,圣光惩击,166,1147,14.5,25
cls_mu_shi,20,blue5,0,圣光弹,355,768,46.2,20
cls_mu_shi,20,blue5,0,圣光术,275,768,35.8,20
cls_mu_shi,20,blue5,0,惩戒,354,768,46.1,20
cls_mu_shi,20,blue5,0,圣光惩击,474,768,61.7,20
cls_mu_shi,20,blue5,3,圣光弹,281,986,28.5,23
cls_mu_shi,20,blue5,3,圣光术,391,986,39.7,23
cls_mu_shi,20,blue5,3,惩戒,244,986,24.7,23
cls_mu_shi,20,blue5,3,圣光惩击,388,986,39.4,23
