cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_wu_seng,10,naked,0,直拳,159,315,50.5,10
cls_wu_seng,10,naked,0,冲拳,114,315,36.2,10
cls_wu_seng,10,naked,0,碎骨拳,142,315,45.1,10
cls_wu_seng,10,naked,0,侧踢,96,315,30.5,10
cls_wu_seng,10,naked,0,钢拳,129,315,41.0,10
cls_wu_seng,10,naked,3,直拳,136,405,33.6,13
cls_wu_seng,10,naked,3,冲拳,106,405,26.2,13
cls_wu_seng,10,naked,3,碎骨拳,194,405,47.9,13
cls_wu_seng,10,naked,3,侧踢,108,405,26.7,13
cls_wu_seng,10,naked,3,钢拳,127,405,31.4,13
cls_wu_seng,10,naked,5,直拳,103,465,22.2,15
cls_wu_seng,10,naked,5,冲拳,68,465,14.6,15
cls_wu_seng,10,naked,5,碎骨拳,178,465,38.3,15
cls_wu_seng,10,naked,5,侧踢,88,465,18.9,15
cls_wu_seng,10,naked,5,钢拳,100,465,21.5,15
cls_wu_seng,10,blue5,0,直拳,274,315,87.0,10
cls_wu_seng,10,blue5,0,冲拳,196,315,62.2,10
cls_wu_seng,10,blue5,0,碎骨拳,258,315,81.9,10
cls_wu_seng,10,blue5,0,侧踢,166,315,52.7,10
cls_wu_seng,10,blue5,0,钢拳,223,315,70.8,10
cls_wu_seng,10,blue5,3,直拳,240,405,59.3,13
cls_wu_seng,10,blue5,3,冲拳,187,405,46.2,13
cls_wu_seng,10,blue5,3,碎骨拳,191,405,47.2,13
cls_wu_seng,10,blue5,3,侧踢,191,405,47.2,13
cls_wu_seng,10,blue5,3,钢拳,227,405,56.0,13
cls_wu_seng,10,blue5,5,直拳,186,465,40.0,15
cls_wu_seng,10,blue5,5,冲拳,122,465,26.2,15
cls_wu_seng,10,blue5,5,碎骨拳,206,465,44.3,15
cls_wu_seng,10,blue5,5,侧踢,160,465,34.4,15
cls_wu_seng,10,blue5,5,钢拳,181,465,38.9,15
cls_wu_seng,20,naked,0,直拳,237,768,30.9,20
cls_wu_seng,20,naked,0,冲拳,165,768,21.5,20
cls_wu_seng,20,naked,0,碎骨拳,327,768,42.6,20
cls_wu_seng,20,naked,0,回旋踢,210,768,27.3,20
cls_wu_seng,20,naked,0,震地击,316,768,41.1,20
cls_wu_seng,20,naked,0,侧踢,208,768,27.1,20
cls_wu_seng,20,naked,0,钢拳,205,768,26.7,20
cls_wu_seng,20,naked,3,直拳,197,986,20.0,23
cls_wu_seng,20,naked,3,冲拳,180,986,18.3,23
cls_wu_seng,20,naked,3,碎骨拳,380,986,38.5,23
cls_wu_seng,20,naked,3,回旋踢,164,986,16.6,23
cls_wu_seng,20,naked,3,震地击,202,986,20.5,23
cls_wu_seng,20,naked,3,侧踢,154,986,15.6,23
cls_wu_seng,20,naked,3,钢拳,168,986,17.0,23
cls_wu_seng,20,naked,5,直拳,140,1147,12.2,25
cls_wu_seng,20,naked,5,冲拳,127,1147,11.1,25
cls_wu_seng,20,naked,5,碎骨拳,309,1147,26.9,25
cls_wu_seng,20,naked,5,回旋踢,169,1147,14.7,25
cls_wu_seng,20,naked,5,震地击,190,1147,16.6,25
cls_wu_seng,20,naked,5,侧踢,127,1147,11.1,25
cls_wu_seng,20,naked,5,钢拳,181,1147,15.8,25
