cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_you_xia,10,naked,0,疾风连射,78,315,24.8,10
cls_you_xia,10,naked,0,瞄准射击,150,315,47.6,10
cls_you_xia,10,naked,0,致命狙击,148,315,47.0,10
cls_you_xia,10,naked,3,疾风连射,58,405,14.3,13
cls_you_xia,10,naked,3,瞄准射击,141,405,34.8,13
cls_you_xia,10,naked,3,致命狙击,144,405,35.6,13
cls_you_xia,10,naked,5,疾风连射,43,465,9.2,15
cls_you_xia,10,naked,5,瞄准射击,91,465,19.6,15
cls_you_xia,10,naked,5,致命狙击,106,465,22.8,15
cls_you_xia,10,blue5,0,疾风连射,152,315,48.3,10
cls_you_xia,10,blue5,0,瞄准射击,259,315,82.2,10
cls_you_xia,10,blue5,0,致命狙击,258,315,81.9,10
cls_you_xia,10,blue5,3,疾风连射,118,405,29.1,13
cls_you_xia,10,blue5,3,瞄准射击,251,405,62.0,13
cls_you_xia,10,blue5,3,致命狙击,260,405,64.2,13
cls_you_xia,10,blue5,5,疾风连射,88,465,18.9,15
cls_you_xia,10,blue5,5,瞄准射击,165,465,35.5,15
cls_you_xia,10,blue5,5,致命狙击,194,465,41.7,15
cls_you_xia,20,naked,0,疾风连射,117,768,15.2,20
cls_you_xia,20,naked,0,瞄准射击,250,768,32.6,20
cls_you_xia,20,naked,0,致命狙击,274,768,35.7,20
cls_you_xia,20,naked,0,猎网陷阱,204,768,26.6,20
cls_you_xia,20,naked,0,林语印记,352,768,45.8,20
cls_you_xia,20,naked,0,淬毒箭矢,126,768,16.4,20
cls_you_xia,20,naked,3,疾风连射,90,986,9.1,23
cls_you_xia,20,naked,3,瞄准射击,276,986,28.0,23
cls_you_xia,20,naked,3,致命狙击,260,986,26.4,23
cls_you_xia,20,naked,3,猎网陷阱,159,986,16.1,23
cls_you_xia,20,naked,3,林语印记,228,986,23.1,23
cls_you_xia,20,naked,3,淬毒箭矢,92,986,9.3,23
cls_you_xia,20,naked,5,疾风连射,70,1147,6.1,25
cls_you_xia,20,naked,5,瞄准射击,171,1147,14.9,25
cls_you_xia,20,naked,5,致命狙击,193,1147,16.8,25
cls_you_xia,20,naked,5,猎网陷阱,162,1147,14.1,25
cls_you_xia,20,naked,5,林语印记,214,1147,18.7,25
cls_you_xia,20,naked,5,淬毒箭矢,97,1147,8.5,25
cls_you_xia,20,blue5,0,疾风连射,226,768,29.4,20
cls_you_xia,20,blue5,0,瞄准射击,439,768,57.2,20
cls_you_xia,20,blue5,0,致命狙击,481,768,62.6,20
cls_you_xia,20,blue5,0,猎网陷阱,361,768,47.0,20
cls_you_xia,20,blue5,0,林语印记,612,768,79.7,20
cls_you_xia,20,blue5,0,淬毒箭矢,235,768,30.6,20
cls_you_xia,20,blue5,3,疾风连射,172,986,17.4,23
cls_you_xia,20,blue5,3,瞄准射击,491,986,49.8,23
cls_you_xia,20,blue5,3,致命狙击,461,986,46.8,23
cls_you_xia,20,blue5,3,猎网陷阱,285,986,28.9,23
cls_you_xia,20,blue5,3,林语印记,401,986,40.7,23
cls_you_xia,20,blue5,3,淬毒箭矢,174,986,17.6,23
cls_you_xia,20,blue5,5,疾风连射,138,1147,12.0,25
cls_you_xia,20,blue5,5,瞄准射击,306,1147,26.7,25
cls_you_xia,20,blue5,5,致命狙击,346,1147,30.2,25
cls_you_xia,20,blue5,5,猎网陷阱,295,1147,25.7,25
cls_you_xia,20,blue5,5,林语印记,379,1147,33.0,25
cls_you_xia,20,blue5,5,淬毒箭矢,184,1147,16.0,25
cls_you_xia,30,naked,0,疾风连射,206,1601,12.9,30
cls_you_xia,30,naked,0,瞄准射击,468,1601,29.2,30
cls_you_xia,30,naked,0,致命狙击,481,1601,30.0,30
cls_you_xia,30,naked,0,猎网陷阱,390,1601,24.4,30
cls_you_xia,30,naked,0,林语印记,527,1601,32.9,30
cls_you_xia,30,naked,0,淬毒箭矢,196,1601,12.2,30
cls_you_xia,30,naked,0,狩猎终章,391,1601,24.4,30
cls_you_xia,30,naked,0,蓄力狙击,0,1601,0.0,30
cls_you_xia,30,naked,3,疾风连射,168,1849,9.1,33
cls_you_xia,30,naked,3,瞄准射击,428,1849,23.1,33
cls_you_xia,30,naked,3,致命狙击,384,1849,20.8,33
cls_you_xia,30,naked,3,猎网陷阱,327,1849,17.7,33
cls_you_xia,30,naked,3,林语印记,384,1849,20.8,33
cls_you_xia,30,naked,3,淬毒箭矢,150,1849,8.1,33
cls_you_xia,30,naked,3,狩猎终章,276,1849,14.9,33
cls_you_xia,30,naked,3,蓄力狙击,0,1849,0.0,33
cls_you_xia,30,naked,5,疾风连射,114,2023,5.6,35
cls_you_xia,30,naked,5,瞄准射击,258,2023,12.8,35
cls_you_xia,30,naked,5,致命狙击,200,2023,9.9,35
cls_you_xia,30,naked,5,猎网陷阱,206,2023,10.2,35
cls_you_xia,30,naked,5,林语印记,295,2023,14.6,35
cls_you_xia,30,naked,5,淬毒箭矢,118,2023,5.8,35
cls_you_xia,30,naked,5,狩猎终章,232,2023,11.5,35
cls_you_xia,30,naked,5,蓄力狙击,0,2023,0.0,35
cls_you_xia,30,blue5,0,疾风连射,384,1601,24.0,30
cls_you_xia,30,blue5,0,瞄准射击,796,1601,49.7,30
cls_you_xia,30,blue5,0,致命狙击,826,1601,51.6,30
cls_you_xia,30,blue5,0,猎网陷阱,670,1601,41.8,30
cls_you_xia,30,blue5,0,林语印记,894,1601,55.8,30
cls_you_xia,30,blue5,0,淬毒箭矢,354,1601,22.1,30
cls_you_xia,30,blue5,0,狩猎终章,678,1601,42.3,30
cls_you_xia,30,blue5,0,蓄力狙击,0,1601,0.0,30
cls_you_xia,30,blue5,3,疾风连射,316,1849,17.1,33
cls_you_xia,30,blue5,3,瞄准射击,738,1849,39.9,33
cls_you_xia,30,blue5,3,致命狙击,668,1849,36.1,33
cls_you_xia,30,blue5,3,猎网陷阱,568,1849,30.7,33
cls_you_xia,30,blue5,3,林语印记,658,1849,35.6,33
cls_you_xia,30,blue5,3,淬毒箭矢,273,1849,14.8,33
cls_you_xia,30,blue5,3,狩猎终章,485,1849,26.2,33
cls_you_xia,30,blue5,3,蓄力狙击,0,1849,0.0,33
cls_you_xia,30,blue5,5,疾风连射,218,2023,10.8,35
cls_you_xia,30,blue5,5,瞄准射击,445,2023,22.0,35
cls_you_xia,30,blue5,5,致命狙击,348,2023,17.2,35
cls_you_xia,30,blue5,5,猎网陷阱,360,2023,17.8,35
cls_you_xia,30,blue5,5,林语印记,509,2023,25.2,35
cls_you_xia,30,blue5,5,淬毒箭矢,216,2023,10.7,35
cls_you_xia,30,blue5,5,狩猎终章,408,2023,20.2,35
cls_you_xia,30,blue5,5,蓄力狙击,0,2023,0.0,35
cls_you_xia,40,naked,0,疾风连射,198,2490,8.0,40
cls_you_xia,40,naked,0,瞄准射击,617,2490,24.8,40
cls_you_xia,40,naked,0,致命狙击,577,2490,23.2,40
cls_you_xia,40,naked,0,猎网陷阱,355,2490,14.3,40
cls_you_xia,40,naked,0,林语印记,507,2490,20.4,40
cls_you_xia,40,naked,0,淬毒箭矢,211,2490,8.5,40
cls_you_xia,40,naked,0,狩猎终章,352,2490,14.1,40
cls_you_xia,40,naked,0,蓄力狙击,0,2490,0.0,40
cls_you_xia,40,naked,3,疾风连射,192,2792,6.9,43
cls_you_xia,40,naked,3,瞄准射击,481,2792,17.2,43
cls_you_xia,40,naked,3,致命狙击,470,2792,16.8,43
cls_you_xia,40,naked,3,猎网陷阱,418,2792,15.0,43
cls_you_xia,40,naked,3,林语印记,407,2792,14.6,43
cls_you_xia,40,naked,3,淬毒箭矢,208,2792,7.4,43
cls_you_xia,40,naked,3,狩猎终章,378,2792,13.5,43
cls_you_xia,40,naked,3,蓄力狙击,0,2792,0.0,43
cls_you_xia,40,naked,5,疾风连射,154,3003,5.1,45
cls_you_xia,40,naked,5,瞄准射击,371,3003,12.4,45
cls_you_xia,40,naked,5,致命狙击,302,3003,10.1,45
cls_you_xia,40,naked,5,猎网陷阱,259,3003,8.6,45
cls_you_xia,40,naked,5,林语印记,334,3003,11.1,45
cls_you_xia,40,naked,5,淬毒箭矢,167,3003,5.6,45
cls_you_xia,40,naked,5,狩猎终章,272,3003,9.1,45
cls_you_xia,40,naked,5,蓄力狙击,0,3003,0.0,45
cls_you_xia,40,blue5,0,疾风连射,388,2490,15.6,40
cls_you_xia,40,blue5,0,瞄准射击,1088,2490,43.7,40
cls_you_xia,40,blue5,0,致命狙击,1023,2490,41.1,40
cls_you_xia,40,blue5,0,猎网陷阱,634,2490,25.5,40
cls_you_xia,40,blue5,0,林语印记,886,2490,35.6,40
cls_you_xia,40,blue5,0,淬毒箭矢,391,2490,15.7,40
cls_you_xia,40,blue5,0,狩猎终章,631,2490,25.3,40
cls_you_xia,40,blue5,0,蓄力狙击,0,2490,0.0,40
cls_you_xia,40,blue5,3,疾风连射,382,2792,13.7,43
cls_you_xia,40,blue5,3,瞄准射击,853,2792,30.6,43
cls_you_xia,40,blue5,3,致命狙击,840,2792,30.1,43
cls_you_xia,40,blue5,3,猎网陷阱,751,2792,26.9,43
cls_you_xia,40,blue5,3,林语印记,718,2792,25.7,43
cls_you_xia,40,blue5,3,淬毒箭矢,390,2792,14.0,43
cls_you_xia,40,blue5,3,狩猎终章,682,2792,24.4,43
cls_you_xia,40,blue5,3,蓄力狙击,0,2792,0.0,43
cls_you_xia,40,blue5,5,疾风连射,304,3003,10.1,45
cls_you_xia,40,blue5,5,瞄准射击,663,3003,22.1,45
cls_you_xia,40,blue5,5,致命狙击,543,3003,18.1,45
cls_you_xia,40,blue5,5,猎网陷阱,467,3003,15.6,45
cls_you_xia,40,blue5,5,林语印记,591,3003,19.7,45
cls_you_xia,40,blue5,5,淬毒箭矢,316,3003,10.5,45
cls_you_xia,40,blue5,5,狩猎终章,493,3003,16.4,45
cls_you_xia,40,blue5,5,蓄力狙击,0,3003,0.0,45
cls_you_xia,50,naked,0,疾风连射,295,3560,8.3,50
cls_you_xia,50,naked,0,瞄准射击,760,3560,21.3,50
cls_you_xia,50,naked,0,致命狙击,682,3560,19.2,50
cls_you_xia,50,naked,0,猎网陷阱,574,3560,16.1,50
cls_you_xia,50,naked,0,林语印记,679,3560,19.1,50
cls_you_xia,50,naked,0,淬毒箭矢,296,3560,8.3,50
cls_you_xia,50,naked,0,狩猎终章,491,3560,13.8,50
cls_you_xia,50,naked,0,蓄力狙击,0,3560,0.0,50
cls_you_xia,50,naked,3,疾风连射,208,3916,5.3,53
cls_you_xia,50,naked,3,瞄准射击,528,3916,13.5,53
cls_you_xia,50,naked,3,致命狙击,448,3916,11.4,53
cls_you_xia,50,naked,3,猎网陷阱,451,3916,11.5,53
cls_you_xia,50,naked,3,林语印记,458,3916,11.7,53
cls_you_xia,50,naked,3,淬毒箭矢,290,3916,7.4,53
cls_you_xia,50,naked,3,狩猎终章,491,3916,12.5,53
cls_you_xia,50,naked,3,蓄力狙击,0,3916,0.0,53
cls_you_xia,50,naked,5,疾风连射,196,4162,4.7,55
cls_you_xia,50,naked,5,瞄准射击,439,4162,10.5,55
cls_you_xia,50,naked,5,致命狙击,469,4162,11.3,55
cls_you_xia,50,naked,5,猎网陷阱,408,4162,9.8,55
cls_you_xia,50,naked,5,林语印记,331,4162,8.0,55
cls_you_xia,50,naked,5,淬毒箭矢,184,4162,4.4,55
cls_you_xia,50,naked,5,狩猎终章,352,4162,8.5,55
cls_you_xia,50,naked,5,蓄力狙击,0,4162,0.0,55
cls_you_xia,50,blue5,0,疾风连射,579,3560,16.3,50
cls_you_xia,50,blue5,0,瞄准射击,1345,3560,37.8,50
cls_you_xia,50,blue5,0,致命狙击,1218,3560,34.2,50
cls_you_xia,50,blue5,0,猎网陷阱,1034,3560,29.0,50
cls_you_xia,50,blue5,0,林语印记,1198,3560,33.7,50
cls_you_xia,50,blue5,0,淬毒箭矢,557,3560,15.6,50
cls_you_xia,50,blue5,0,狩猎终章,885,3560,24.9,50
cls_you_xia,50,blue5,0,蓄力狙击,0,3560,0.0,50
cls_you_xia,50,blue5,3,疾风连射,409,3916,10.4,53
cls_you_xia,50,blue5,3,瞄准射击,940,3916,24.0,53
cls_you_xia,50,blue5,3,致命狙击,803,3916,20.5,53
cls_you_xia,50,blue5,3,猎网陷阱,819,3916,20.9,53
cls_you_xia,50,blue5,3,林语印记,813,3916,20.8,53
cls_you_xia,50,blue5,3,淬毒箭矢,548,3916,14.0,53
cls_you_xia,50,blue5,3,狩猎终章,889,3916,22.7,53
cls_you_xia,50,blue5,3,蓄力狙击,0,3916,0.0,53
cls_you_xia,50,blue5,5,疾风连射,388,4162,9.3,55
cls_you_xia,50,blue5,5,瞄准射击,786,4162,18.9,55
cls_you_xia,50,blue5,5,致命狙击,845,4162,20.3,55
cls_you_xia,50,blue5,5,猎网陷阱,742,4162,17.8,55
cls_you_xia,50,blue5,5,林语印记,589,4162,14.2,55
cls_you_xia,50,blue5,5,淬毒箭矢,352,4162,8.5,55
cls_you_xia,50,blue5,5,狩猎终章,639,4162,15.4,55
cls_you_xia,50,blue5,5,蓄力狙击,0,4162,0.0,55
cls_you_xia,60,naked,0,疾风连射,413,4809,8.6,60
cls_you_xia,60,naked,0,瞄准射击,982,4809,20.4,60
cls_you_xia,60,naked,0,致命狙击,960,4809,20.0,60
cls_you_xia,60,naked,0,猎网陷阱,855,4809,17.8,60
cls_you_xia,60,naked,0,林语印记,826,4809,17.2,60
cls_you_xia,60,naked,0,淬毒箭矢,432,4809,9.0,60
cls_you_xia,60,naked,0,狩猎终章,776,4809,16.1,60
cls_you_xia,60,naked,0,蓄力狙击,0,4809,0.0,60
cls_you_xia,60,naked,3,疾风连射,318,5162,6.2,63
cls_you_xia,60,naked,3,瞄准射击,684,5162,13.3,63
cls_you_xia,60,naked,3,致命狙击,733,5162,14.2,63
cls_you_xia,60,naked,3,猎网陷阱,618,5162,12.0,63
cls_you_xia,60,naked,3,林语印记,871,5162,16.9,63
cls_you_xia,60,naked,3,淬毒箭矢,408,5162,7.9,63
cls_you_xia,60,naked,3,狩猎终章,665,5162,12.9,63
cls_you_xia,60,naked,3,蓄力狙击,0,5162,0.0,63
cls_you_xia,60,naked,5,疾风连射,288,5403,5.3,65
cls_you_xia,60,naked,5,瞄准射击,717,5403,13.3,65
cls_you_xia,60,naked,5,致命狙击,516,5403,9.6,65
cls_you_xia,60,naked,5,猎网陷阱,447,5403,8.3,65
cls_you_xia,60,naked,5,林语印记,572,5403,10.6,65
cls_you_xia,60,naked,5,淬毒箭矢,297,5403,5.5,65
cls_you_xia,60,naked,5,狩猎终章,561,5403,10.4,65
cls_you_xia,60,naked,5,蓄力狙击,0,5403,0.0,65
cls_you_xia,60,blue5,0,疾风连射,746,4809,15.5,60
cls_you_xia,60,blue5,0,瞄准射击,1635,4809,34.0,60
cls_you_xia,60,blue5,0,致命狙击,1610,4809,33.5,60
cls_you_xia,60,blue5,0,猎网陷阱,1443,4809,30.0,60
cls_you_xia,60,blue5,0,林语印记,1374,4809,28.6,60
cls_you_xia,60,blue5,0,淬毒箭矢,757,4809,15.7,60
cls_you_xia,60,blue5,0,狩猎终章,1311,4809,27.3,60
cls_you_xia,60,blue5,0,蓄力狙击,0,4809,0.0,60
cls_you_xia,60,blue5,3,疾风连射,578,5162,11.2,63
cls_you_xia,60,blue5,3,瞄准射击,1145,5162,22.2,63
cls_you_xia,60,blue5,3,致命狙击,1234,5162,23.9,63
cls_you_xia,60,blue5,3,猎网陷阱,1045,5162,20.2,63
cls_you_xia,60,blue5,3,林语印记,1457,5162,28.2,63
cls_you_xia,60,blue5,3,淬毒箭矢,719,5162,13.9,63
cls_you_xia,60,blue5,3,狩猎终章,1130,5162,21.9,63
cls_you_xia,60,blue5,3,蓄力狙击,0,5162,0.0,63
cls_you_xia,60,blue5,5,疾风连射,523,5403,9.7,65
cls_you_xia,60,blue5,5,瞄准射击,1202,5403,22.2,65
cls_you_xia,60,blue5,5,致命狙击,872,5403,16.1,65
cls_you_xia,60,blue5,5,猎网陷阱,760,5403,14.1,65
cls_you_xia,60,blue5,5,林语印记,956,5403,17.7,65
cls_you_xia,60,blue5,5,淬毒箭矢,525,5403,9.7,65
cls_you_xia,60,blue5,5,狩猎终章,956,5403,17.7,65
cls_you_xia,60,blue5,5,蓄力狙击,0,5403,0.0,65
cls_you_xia,70,naked,0,疾风连射,345,6027,5.7,70
cls_you_xia,70,naked,0,瞄准射击,858,6027,14.2,70
cls_you_xia,70,naked,0,致命狙击,730,6027,12.1,70
cls_you_xia,70,naked,0,猎网陷阱,741,6027,12.3,70
cls_you_xia,70,naked,0,林语印记,745,6027,12.4,70
cls_you_xia,70,naked,0,淬毒箭矢,475,6027,7.9,70
cls_you_xia,70,naked,0,狩猎终章,799,6027,13.3,70
cls_you_xia,70,naked,0,蓄力狙击,0,6027,0.0,70
cls_you_xia,70,naked,3,疾风连射,346,6416,5.4,73
cls_you_xia,70,naked,3,瞄准射击,541,6416,8.4,73
cls_you_xia,70,naked,3,致命狙击,649,6416,10.1,73
cls_you_xia,70,naked,3,猎网陷阱,632,6416,9.9,73
cls_you_xia,70,naked,3,林语印记,885,6416,13.8,73
cls_you_xia,70,naked,3,淬毒箭矢,328,6416,5.1,73
cls_you_xia,70,naked,3,狩猎终章,474,6416,7.4,73
cls_you_xia,70,naked,3,蓄力狙击,211,6416,3.3,73
cls_you_xia,70,naked,5,疾风连射,217,6681,3.2,75
cls_you_xia,70,naked,5,瞄准射击,535,6681,8.0,75
cls_you_xia,70,naked,5,致命狙击,472,6681,7.1,75
cls_you_xia,70,naked,5,猎网陷阱,479,6681,7.2,75
cls_you_xia,70,naked,5,林语印记,596,6681,8.9,75
cls_you_xia,70,naked,5,淬毒箭矢,236,6681,3.5,75
cls_you_xia,70,naked,5,狩猎终章,444,6681,6.6,75
cls_you_xia,70,naked,5,蓄力狙击,318,6681,4.8,75
