cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_zhan_shi,10,naked,0,挥砍,76,315,24.1,10
cls_zhan_shi,10,naked,0,猛击,98,315,31.1,10
cls_zhan_shi,10,naked,0,破甲斩,196,315,62.2,10
cls_zhan_shi,10,naked,3,挥砍,113,405,27.9,13
cls_zhan_shi,10,naked,3,猛击,124,405,30.6,13
cls_zhan_shi,10,naked,3,破甲斩,149,405,36.8,13
cls_zhan_shi,10,naked,5,挥砍,86,465,18.5,15
cls_zhan_shi,10,naked,5,猛击,83,465,17.8,15
cls_zhan_shi,10,naked,5,破甲斩,90,465,19.4,15
cls_zhan_shi,10,blue5,0,挥砍,168,315,53.3,10
cls_zhan_shi,10,blue5,0,猛击,160,315,50.8,10
cls_zhan_shi,10,blue5,0,破甲斩,226,315,71.7,10
cls_zhan_shi,10,blue5,3,挥砍,260,405,64.2,13
cls_zhan_shi,10,blue5,3,猛击,210,405,51.9,13
cls_zhan_shi,10,blue5,3,破甲斩,170,405,42.0,13
cls_zhan_shi,10,blue5,5,挥砍,200,465,43.0,15
cls_zhan_shi,10,blue5,5,猛击,141,465,30.3,15
cls_zhan_shi,10,blue5,5,破甲斩,104,465,22.4,15
cls_zhan_shi,20,naked,0,挥砍,193,768,25.1,20
cls_zhan_shi,20,naked,0,猛击,162,768,21.1,20
cls_zhan_shi,20,naked,0,破甲斩,277,768,36.1,20
cls_zhan_shi,20,naked,0,旋风斩,300,768,39.1,20
cls_zhan_shi,20,naked,0,裂地斩,503,768,65.5,20
cls_zhan_shi,20,naked,0,盾击,184,768,24.0,20
cls_zhan_shi,20,naked,3,挥砍,149,986,15.1,23
cls_zhan_shi,20,naked,3,猛击,224,986,22.7,23
cls_zhan_shi,20,naked,3,破甲斩,384,986,38.9,23
cls_zhan_shi,20,naked,3,旋风斩,240,986,24.3,23
cls_zhan_shi,20,naked,3,裂地斩,340,986,34.5,23
cls_zhan_shi,20,naked,3,盾击,186,986,18.9,23
cls_zhan_shi,20,naked,5,挥砍,113,1147,9.9,25
cls_zhan_shi,20,naked,5,猛击,159,1147,13.9,25
cls_zhan_shi,20,naked,5,破甲斩,295,1147,25.7,25
cls_zhan_shi,20,naked,5,旋风斩,184,1147,16.0,25
cls_zhan_shi,20,naked,5,裂地斩,329,1147,28.7,25
cls_zhan_shi,20,naked,5,盾击,177,1147,15.4,25
cls_zhan_shi,20,blue5,0,挥砍,435,768,56.6,20
cls_zhan_shi,20,blue5,0,猛击,273,768,35.5,20
cls_zhan_shi,20,blue5,0,破甲斩,415,768,54.0,20
cls_zhan_shi,20,blue5,0,旋风斩,497,768,64.7,20
cls_zhan_shi,20,blue5,0,裂地斩,752,768,97.9,20
cls_zhan_shi,20,blue5,0,盾击,306,768,39.8,20
cls_zhan_shi,20,blue5,3,挥砍,340,986,34.5,23
cls_zhan_shi,20,blue5,3,猛击,384,986,38.9,23
cls_zhan_shi,20,blue5,3,破甲斩,576,986,58.4,23
cls_zhan_shi,20,blue5,3,旋风斩,401,986,40.7,23
