cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_ci_ke,40,naked,0,影刃,776,2490,31.2,40
cls_ci_ke,40,naked,0,毒刃,789,2490,31.7,40
cls_ci_ke,50,naked,0,影刃,1064,3560,29.9,50
cls_ci_ke,50,naked,0,幻影连刺,1202,3560,33.8,50
cls_ci_ke,50,naked,0,毒刃,947,3560,26.6,50
cls_ci_ke,50,naked,0,双毒刃,916,3560,25.7,50
cls_ci_ke,60,naked,0,影刃,1333,4809,27.7,60
cls_ci_ke,60,naked,0,幻影连刺,1673,4809,34.8,60
cls_ci_ke,60,naked,0,终结·处刑,1522,4809,31.6,60
cls_ci_ke,60,naked,0,毒刃,1331,4809,27.7,60
cls_ci_ke,60,naked,0,双毒刃,1223,4809,25.4,60
cls_ci_ke,60,naked,0,毒爆,1818,4809,37.8,60
cls_ci_ke,70,naked,0,影刃,1365,6027,22.6,70
cls_ci_ke,70,naked,0,幻影连刺,1641,6027,27.2,70
cls_ci_ke,70,naked,0,终结·处刑,1513,6027,25.1,70
cls_ci_ke,70,naked,0,毒刃,1225,6027,20.3,70
cls_ci_ke,70,naked,0,双毒刃,1207,6027,20.0,70
cls_ci_ke,70,naked,0,毒爆,1994,6027,33.1,70
cls_ci_ke,70,naked,0,暗影突袭,2146,6027,35.6,70
cls_ci_ke,70,naked,0,收割,1766,6027,29.3,70
cls_ci_ke,70,naked,0,毒雾·淬,630,6027,10.5,70
cls_ci_ke,70,naked,0,淬毒刺杀,1829,6027,30.3,70
cls_ci_ke,80,naked,0,影刃,1615,7365,21.9,80
cls_ci_ke,80,naked,0,幻影连刺,1922,7365,26.1,80
cls_ci_ke,80,naked,0,终结·处刑,1713,7365,23.3,80
cls_ci_ke,80,naked,0,毒刃,1505,7365,20.4,80
cls_ci_ke,80,naked,0,双毒刃,1364,7365,18.5,80
cls_ci_ke,80,naked,0,毒爆,2239,7365,30.4,80
cls_ci_ke,80,naked,0,暗影突袭,2355,7365,32.0,80
cls_ci_ke,80,naked,0,收割,2091,7365,28.4,80
cls_ci_ke,80,naked,0,毒雾·淬,717,7365,9.7,80
cls_ci_ke,80,naked,0,淬毒刺杀,2200,7365,29.9,80
cls_ci_ke,90,naked,0,影刃,2321,8823,26.3,90
cls_ci_ke,90,naked,0,幻影连刺,2771,8823,31.4,90
cls_ci_ke,90,naked,0,终结·处刑,2446,8823,27.7,90
cls_ci_ke,90,naked,0,毒刃,2098,8823,23.8,90
cls_ci_ke,90,naked,0,双毒刃,1957,8823,22.2,90
cls_ci_ke,90,naked,0,毒爆,3183,8823,36.1,90
cls_ci_ke,90,naked,0,暗影突袭,3476,8823,39.4,90
cls_ci_ke,90,naked,0,收割,2706,8823,30.7,90
cls_ci_ke,90,naked,0,毒雾·淬,993,8823,11.3,90
cls_ci_ke,90,naked,0,淬毒刺杀,3004,8823,34.0,90
cls_ci_ke,90,naked,0,万毒归宗,3107,8823,35.2,90
cls_ci_ke,100,naked,0,影刃,2025,10401,19.5,100
cls_ci_ke,100,naked,0,幻影连刺,2366,10401,22.7,100
cls_ci_ke,100,naked,0,终结·处刑,2091,10401,20.1,100
cls_ci_ke,100,naked,0,毒刃,1860,10401,17.9,100
cls_ci_ke,100,naked,0,双毒刃,1779,10401,17.1,100
cls_ci_ke,100,naked,0,毒爆,2694,10401,25.9,100
cls_ci_ke,100,naked,0,暗影突袭,3094,10401,29.7,100
cls_ci_ke,100,naked,0,收割,2263,10401,21.8,100
cls_ci_ke,100,naked,0,毒雾·淬,881,10401,8.5,100
cls_ci_ke,100,naked,0,淬毒刺杀,2718,10401,26.1,100
cls_ci_ke,100,naked,0,幻影舞,3169,10401,30.5,100
cls_ci_ke,100,naked,0,终结·暗影绞杀,3437,10401,33.0,100
cls_ci_ke,100,naked,0,剧毒风暴,1907,10401,18.3,100
cls_ci_ke,100,naked,0,万毒噬心,3740,10401,36.0,100
cls_ci_ke,100,naked,0,万毒归宗,2843,10401,27.3,100
