cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_mu_shi,40,naked,0,即兴弹唱,25,2490,1.0,40
cls_mu_shi,40,naked,0,轻快拨弦,35,2490,1.4,40
cls_mu_shi,50,naked,0,即兴弹唱,40,3560,1.1,50
cls_mu_shi,50,naked,0,轻快拨弦,50,3560,1.4,50
cls_mu_shi,60,naked,0,即兴弹唱,51,4809,1.1,60
cls_mu_shi,60,naked,0,轻快拨弦,81,4809,1.7,60
cls_mu_shi,70,naked,0,即兴弹唱,28,6027,0.5,70
cls_mu_shi,70,naked,0,轻快拨弦,49,6027,0.8,70
cls_mu_shi,70,naked,0,哀歌,1311,6027,21.8,70
cls_mu_shi,80,naked,0,即兴弹唱,39,7365,0.5,80
cls_mu_shi,80,naked,0,轻快拨弦,54,7365,0.7,80
cls_mu_shi,80,naked,0,哀歌,1592,7365,21.6,80
cls_mu_shi,90,naked,0,即兴弹唱,132,8823,1.5,90
cls_mu_shi,90,naked,0,轻快拨弦,121,8823,1.4,90
cls_mu_shi,90,naked,0,哀歌,1388,8823,15.7,90
cls_mu_shi,100,naked,0,即兴弹唱,52,10401,0.5,100
cls_mu_shi,100,naked,0,轻快拨弦,57,10401,0.5,100
cls_mu_shi,100,naked,0,哀歌,2187,10401,21.0,100
cls_mu_shi,100,naked,0,破晓圣咏,2429,10401,23.4,100
