cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_wu_seng,40,naked,0,疾风拳,703,2490,28.2,40
cls_wu_seng,40,naked,0,铁壁拳,822,2490,33.0,40
cls_wu_seng,50,naked,0,疾风拳,1175,3560,33.0,50
cls_wu_seng,50,naked,0,旋风踢,816,3560,22.9,50
cls_wu_seng,50,naked,0,铁壁拳,1136,3560,31.9,50
cls_wu_seng,60,naked,0,疾风拳,1485,4809,30.9,60
cls_wu_seng,60,naked,0,旋风踢,1046,4809,21.8,60
cls_wu_seng,60,naked,0,气力爆发,1602,4809,33.3,60
cls_wu_seng,60,naked,0,铁壁拳,1576,4809,32.8,60
cls_wu_seng,70,naked,0,疾风拳,1206,6027,20.0,70
cls_wu_seng,70,naked,0,旋风踢,820,6027,13.6,70
cls_wu_seng,70,naked,0,气力爆发,1595,6027,26.5,70
cls_wu_seng,70,naked,0,铁壁拳,1396,6027,23.2,70
cls_wu_seng,70,naked,0,连环拳,1585,6027,26.3,70
cls_wu_seng,70,naked,0,气力裂空,2219,6027,36.8,70
cls_wu_seng,80,naked,0,疾风拳,1156,7365,15.7,80
cls_wu_seng,80,naked,0,旋风踢,934,7365,12.7,80
cls_wu_seng,80,naked,0,气力爆发,2115,7365,28.7,80
cls_wu_seng,80,naked,0,铁壁拳,1536,7365,20.9,80
cls_wu_seng,80,naked,0,连环拳,1765,7365,24.0,80
cls_wu_seng,80,naked,0,气力裂空,1512,7365,20.5,80
cls_wu_seng,90,naked,0,疾风拳,2579,8823,29.2,90
cls_wu_seng,90,naked,0,旋风踢,1404,8823,15.9,90
cls_wu_seng,90,naked,0,气力爆发,2679,8823,30.4,90
cls_wu_seng,90,naked,0,铁壁拳,2275,8823,25.8,90
cls_wu_seng,90,naked,0,连环拳,3139,8823,35.6,90
cls_wu_seng,90,naked,0,气力裂空,2808,8823,31.8,90
cls_wu_seng,100,naked,0,疾风拳,1750,10401,16.8,100
cls_wu_seng,100,naked,0,旋风踢,1003,10401,9.6,100
cls_wu_seng,100,naked,0,气力爆发,2655,10401,25.5,100
cls_wu_seng,100,naked,0,铁壁拳,2254,10401,21.7,100
cls_wu_seng,100,naked,0,连环拳,2325,10401,22.4,100
cls_wu_seng,100,naked,0,气力裂空,3129,10401,30.1,100
cls_wu_seng,100,naked,0,无影连打,3705,10401,35.6,100
cls_wu_seng,100,naked,0,气力天地,3640,10401,35.0,100
