cls,lv,loadout,diff,skill,peak_dmg,target_hp,peak_pct,target_lv
cls_you_xia,40,naked,0,追猎,765,2490,30.7,40
cls_you_xia,40,naked,0,疾风射击,783,2490,31.4,40
cls_you_xia,50,naked,0,追猎,1276,3560,35.8,50
cls_you_xia,50,naked,0,藤蔓缠绕,382,3560,10.7,50
cls_you_xia,50,naked,0,疾风射击,947,3560,26.6,50
cls_you_xia,50,naked,0,双重射击,1162,3560,32.6,50
cls_you_xia,60,naked,0,追猎,1602,4809,33.3,60
cls_you_xia,60,naked,0,藤蔓缠绕,469,4809,9.8,60
cls_you_xia,60,naked,0,毒爆术,271,4809,5.6,60
cls_you_xia,60,naked,0,疾风射击,1307,4809,27.2,60
cls_you_xia,60,naked,0,双重射击,1350,4809,28.1,60
cls_you_xia,60,naked,0,风刃乱舞,1765,4809,36.7,60
cls_you_xia,70,naked,0,追猎,1306,6027,21.7,70
cls_you_xia,70,naked,0,藤蔓缠绕,434,6027,7.2,70
cls_you_xia,70,naked,0,毒爆术,261,6027,4.3,70
cls_you_xia,70,naked,0,疾风射击,1162,6027,19.3,70
cls_you_xia,70,naked,0,双重射击,1355,6027,22.5,70
cls_you_xia,70,naked,0,风刃乱舞,1523,6027,25.3,70
cls_you_xia,70,naked,0,穿心箭,2219,6027,36.8,70
cls_you_xia,70,naked,0,急速射击,1631,6027,27.1,70
cls_you_xia,70,naked,0,穿云箭,2219,6027,36.8,70
cls_you_xia,80,naked,0,追猎,1540,7365,20.9,80
cls_you_xia,80,naked,0,藤蔓缠绕,300,7365,4.1,80
cls_you_xia,80,naked,0,毒爆术,317,7365,4.3,80
cls_you_xia,80,naked,0,疾风射击,1279,7365,17.4,80
cls_you_xia,80,naked,0,双重射击,1832,7365,24.9,80
cls_you_xia,80,naked,0,风刃乱舞,1624,7365,22.1,80
cls_you_xia,80,naked,0,穿心箭,2434,7365,33.0,80
cls_you_xia,80,naked,0,急速射击,1821,7365,24.7,80
cls_you_xia,80,naked,0,穿云箭,1981,7365,26.9,80
cls_you_xia,90,naked,0,追猎,2769,8823,31.4,90
cls_you_xia,90,naked,0,藤蔓缠绕,532,8823,6.0,90
cls_you_xia,90,naked,0,毒爆术,294,8823,3.3,90
cls_you_xia,90,naked,0,疾风射击,1885,8823,21.4,90
cls_you_xia,90,naked,0,双重射击,2597,8823,29.4,90
cls_you_xia,90,naked,0,风刃乱舞,2784,8823,31.6,90
cls_you_xia,90,naked,0,穿心箭,2383,8823,27.0,90
cls_you_xia,90,naked,0,急速射击,2640,8823,29.9,90
cls_you_xia,90,naked,0,穿云箭,2466,8823,27.9,90
cls_you_xia,90,naked,0,猎杀时刻,3246,8823,36.8,90
cls_you_xia,100,naked,0,追猎,1899,10401,18.3,100
cls_you_xia,100,naked,0,藤蔓缠绕,374,10401,3.6,100
cls_you_xia,100,naked,0,毒爆术,434,10401,4.2,100
cls_you_xia,100,naked,0,疾风射击,1877,10401,18.0,100
cls_you_xia,100,naked,0,双重射击,2191,10401,21.1,100
cls_you_xia,100,naked,0,风刃乱舞,2050,10401,19.7,100
cls_you_xia,100,naked,0,穿心箭,2433,10401,23.4,100
cls_you_xia,100,naked,0,急速射击,2259,10401,21.7,100
cls_you_xia,100,naked,0,穿云箭,2762,10401,26.6,100
cls_you_xia,100,naked,0,致命连射,3473,10401,33.4,100
cls_you_xia,100,naked,0,死神之箭,3825,10401,36.8,100
cls_you_xia,100,naked,0,猎杀时刻,3035,10401,29.2,100
cls_you_xia,100,naked,0,风暴之舞,3679,10401,35.4,100
cls_you_xia,100,naked,0,疾风骤雨,3655,10401,35.1,100
